date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-19T08:20:00.000+0000,1000000.0,1000000.0,999929.2745155538,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-19T08:30:00.000+0000,999989.19762696,998166.25335,999114.3350384812,1000000.0,1000000.0,999986.5224387039,997712.12929
2025-04-19T08:40:00.000+0000,999981.5595922801,998166.25335,1001093.7192982684,1000000.0,1000000.0,999976.9928584719,997712.12929
2025-04-19T08:50:00.000+0000,1000006.17103736,998166.25335,1000830.6511793861,1000000.0,1000000.0,1000007.699283664,997712.12929
2025-04-19T09:00:00.000+0000,1000034.17716452,998166.25335,1000862.1983179215,1000000.0,1000000.0,1000042.6410778479,997712.12929
2025-04-19T09:10:00.000+0000,1000047.75589284,998166.25335,1002351.2003485367,1000000.0,1000000.0,1000059.5825538159,997712.12929
2025-04-19T09:20:00.000+0000,1000049.45323388,998166.25335,1002125.2619542653,1000000.0,1000000.0,1000061.7002383119,997712.12929
2025-04-19T09:30:00.000+0000,1000057.09126856,998166.25335,1000670.225868638,1000000.0,1000000.0,1000071.229818544,997712.12929
2025-04-19T09:40:00.000+0000,1000040.11785816,998166.25335,1001989.1406824093,1000000.0,1000000.0,1000050.0529735839,997712.12929
2025-04-19T09:50:00.000+0000,1000054.545257,998166.25335,1000884.8288996344,1000000.0,1000000.0,1000068.0532918,997712.12929
2025-04-19T10:00:00.000+0000,1000039.26918764,998166.25335,1000168.4026728412,1000000.0,1000000.0,1000048.994131336,997712.12929
2025-04-19T10:10:00.000+0000,1000040.9665286801,998166.25335,1001236.8395607318,1000000.0,1000000.0,1000051.111815832,997712.12929
2025-04-19T10:20:00.000+0000,1000113.9521934,998166.25335,1000624.378397976,1000000.0,1000000.0,1000142.17224916,997712.12929
2025-04-19T10:30:00.000+0000,999945.06675992,998166.25335,998752.7858820232,1000000.0,1000000.0,999931.462641808,997712.12929
2025-04-19T10:40:00.000+0000,999920.45531484,998166.25335,999020.9642953207,1000000.0,1000000.0,999900.7562166159,997712.12929
2025-04-19T10:50:00.000+0000,999947.61277148,998166.25335,999029.4933450246,1000000.0,1000000.0,999934.639168552,997712.12929
2025-04-19T11:00:00.000+0000,999939.1260662801,998166.25335,999364.4531939399,1000000.0,1000000.0,999924.050746072,997712.12929
2025-04-19T11:10:00.000+0000,999994.28965008,998166.25335,1000101.3232662249,1000000.0,1000000.0,999992.875492192,997712.12929
2025-04-19T11:20:00.000+0000,1000023.14444776,998166.25335,999286.4698799197,1000000.0,1000000.0,1000028.876128624,997712.12929
