date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-03-09T14:30:00.000+0000,1000000.0,1000000.0,999999.9999999999,1000000.0,1000000.0,1000000.0,1000000.0
2025-03-09T14:40:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T14:50:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T15:00:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T15:10:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T15:20:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T15:30:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T15:40:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T15:50:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T16:00:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T16:10:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T16:20:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T16:30:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T16:40:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T16:50:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T17:00:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T17:10:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T17:20:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T17:30:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T17:40:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T17:50:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T18:00:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T18:10:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T18:20:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
2025-03-09T18:30:00.000+0000,999603.0573055199,503821.6319,999999.9999999999,1000000.0,1000000.0,999797.9037629599,747379.7037
